Athlete,Date,Session_Type,Duration_min,sRPE
Rahul,2026-08-01,Strength,60,5
Rahul,2026-08-02,Conditioning,70,6
Rahul,2026-08-03,Speed,50,5
Rahul,2026-08-04,Recovery,40,3
Rahul,2026-08-05,Strength,65,7
Rahul,2026-08-06,Conditioning,75,7
Rahul,2026-08-07,Recovery,35,3
Rahul,2026-08-08,Strength,70,8
Rahul,2026-08-09,Conditioning,80,8
Rahul,2026-08-10,Speed,55,6
Rahul,2026-08-11,Strength,75,8
Rahul,2026-08-12,Conditioning,85,8
Rahul,2026-08-13,Recovery,30,2
Rahul,2026-08-14,Strength,80,9
Arjun,2026-08-01,Strength,70,6
Arjun,2026-08-02,Conditioning,75,7
Arjun,2026-08-03,Speed,55,6
Arjun,2026-08-04,Recovery,40,3
Arjun,2026-08-05,Strength,75,7
Arjun,2026-08-06,Conditioning,80,8
Arjun,2026-08-07,Recovery,35,3
Arjun,2026-08-08,Strength,80,8
Arjun,2026-08-09,Conditioning,85,8
Arjun,2026-08-10,Speed,60,6
Arjun,2026-08-11,Strength,85,8
Arjun,2026-08-12,Conditioning,90,9
Arjun,2026-08-13,Recovery,30,2
Arjun,2026-08-14,Strength,90,9
Vikram,2026-08-01,Strength,50,4
Vikram,2026-08-02,Conditioning,60,5
Vikram,2026-08-03,Speed,45,4
Vikram,2026-08-04,Recovery,35,2
Vikram,2026-08-05,Strength,55,5
Vikram,2026-08-06,Conditioning,65,6
Vikram,2026-08-07,Recovery,35,2
Vikram,2026-08-08,Strength,60,6
Vikram,2026-08-09,Conditioning,70,6
Vikram,2026-08-10,Speed,45,4
Vikram,2026-08-11,Strength,65,6
Vikram,2026-08-12,Conditioning,70,7
Vikram,2026-08-13,Recovery,30,2
Vikram,2026-08-14,Strength,70,7
Priya,2026-08-01,Strength,55,5
Priya,2026-08-02,Conditioning,60,5
Priya,2026-08-03,Speed,45,4
Priya,2026-08-04,Recovery,35,2
Priya,2026-08-05,Strength,60,5
Priya,2026-08-06,Conditioning,65,6
Priya,2026-08-07,Recovery,35,2
Priya,2026-08-08,Strength,65,6
Priya,2026-08-09,Conditioning,70,6
Priya,2026-08-10,Speed,45,4
Priya,2026-08-11,Strength,70,6
Priya,2026-08-12,Conditioning,75,7
Priya,2026-08-13,Recovery,30,2
Priya,2026-08-14,Strength,75,7
